,모델명,화면크기,무게,CPU,그래픽,RAM,SSD,최저가,등록년월,평점,댓글개수,브랜드,인기,출시 연도
238,삼성전자 갤럭시북5 프로 NT940XHA-KC51S,14.0,1.23,코어 울트라5,내장그래픽,16,512,1786000,2025.01.,5.0,5,삼성전자,25.0,2025
239,LG전자 2024 그램17 17Z90S-GAOWK,17.0,1.35,코어 울트라5,내장그래픽,16,512,1504890,2024.01.,4.9,107,LG전자,524.3000000000001,2024
240,삼성전자 갤럭시북 프로 SE NT950XGQ-A71A,15.6,1.13,코어 울트라7,내장그래픽,16,512,1420000,2024.04.,4.9,32,삼성전자,156.8,2024
241,LG전자 그램 프로17 17Z90TR-EP7CL,17.0,1.48,코어 울트라7,RTX5050,32,512,2942990,2025.11.,,,LG전자,,2025
242,LG전자 2023 그램17 17ZD90RU-GX54K WIN11,17.0,1.35,코어i5-13세대,기타,16,256,1289980,2024.11.,,,LG전자,,2024
243,LG전자 울트라PC 15U55T-GP7KL 32GB램,15.6,1.7,코어 울트라7,기타,32,512,1677570,2025.09.,,,LG전자,,2025
244,LG전자 2024 그램15 15Z90S-GP7UL,15.6,1.3,코어 울트라7,내장그래픽,32,512,1876630,2024.05.,5.0,2,LG전자,10.0,2024
245,삼성전자 갤럭시북4 NT750XGJ-KH31G,15.6,1.55,코어i3-13세대,기타,16,256,773510,2024.07.,4.6,131,삼성전자,602.5999999999999,2024
246,삼성전자 갤럭시북4 엣지 NT960XMB-KC01B,16.0,1.55,,기타,16,1024,1398990,2024.06.,5.0,1,삼성전자,5.0,2024
247,LG전자 2023 그램17 17Z90R-GA76K,17.0,1.35,코어i7-13세대,기타,16,256,1578990,2023.01.,4.9,58,LG전자,284.20000000000005,2023
248,삼성전자 갤럭시북3 프로 NT960XFG-K71A,16.0,1.56,코어i7-13세대,기타,16,512,1548990,2023.02.,4.9,717,삼성전자,3513.3,2023
249,삼성전자 갤럭시북5 프로360 NT960QHA-KD72G,16.0,1.69,코어 울트라7,내장그래픽,32,1024,2859770,2024.11.,4.8,9,삼성전자,43.199999999999996,2024
250,삼성전자 갤럭시북4 프로 NT960XGK-KG51G,16.0,1.56,코어 울트라5,내장그래픽,16,512,1789550,2024.07.,,,삼성전자,,2024
251,LG전자 그램16 16ZD90RU-GX54K WIN10,16.0,1.199,코어i5-13세대,기타,16,256,1137000,2025.01.,,,LG전자,,2025
252,LG전자 2025 그램14 14Z90T-GA50K,14.0,1.12,코어 울트라5,내장그래픽,16,256,1318990,2025.01.,5.0,1,LG전자,5.0,2025
253,LG전자 2023 그램16 16Z90RU-GAOWK,16.0,1.199,코어i5-13세대,기타,16,256,1226690,2023.06.,4.9,144,LG전자,705.6,2023
254,LG전자 2023 그램17 17ZD90RU-GX54K,17.0,1.35,코어i5-13세대,기타,16,256,1250210,2024.11.,5.0,9,LG전자,45.0,2024
255,삼성전자 갤럭시북3 NT750XFG-KC51S,15.6,1.57,코어i5-13세대,기타,16,256,868690,2024.03.,,,삼성전자,,2024
256,LG전자 2023 그램15 15Z90RT-GAOBK,15.6,,코어i5-13세대,기타,16,256,1607060,2023.03.,4.9,50,LG전자,245.00000000000003,2023
257,LG전자 울트라PC 15UG50S-GP55KN 32GB램,15.6,1.77,코어 울트라5,기타,32,512,1406000,2025.07.,,,LG전자,,2025
258,삼성전자 갤럭시북5 프로360 NT960QHA-K71A,16.0,1.69,코어 울트라7,내장그래픽,16,512,2250000,2025.01.,4.9,90,삼성전자,441.00000000000006,2025
259,LG전자 2023 그램14 14ZD90R-GX56K WIN11,14.0,,코어i5-13세대,기타,16,256,1076000,2023.02.,4.9,12,LG전자,58.800000000000004,2023
260,LG전자 울트라PC 15U50S-SP7GL 16GB램,15.6,1.8,코어 울트라7,기타,16,512,1517850,2025.08.,,,LG전자,,2025
261,LG전자 그램 14Z95N i5 중고,14.0,,코어i5-11세대,기타,8,256,490000,2022.05.,5.0,1,LG전자,5.0,2022
262,LG전자 그램15 15ZB90S-GA7NL,15.6,1.29,코어 울트라7,기타,16,256,1399000,2025.02.,,,LG전자,,2025
263,"APPLE 맥북프로16 M4맥스 16코어 CPU, 40코어 GPU 블랙",16.2,2.15,M4 Max,기타,48,1024,5517310,2024.11.,5.0,26,APPLE,130.0,2024
264,삼성전자 갤럭시북4 360 NT750QGK-K51A,15.6,1.46,코어5,기타,16,256,1548990,2025.02.,5.0,3,삼성전자,15.0,2025
265,삼성전자 갤럭시북5 프로H NT965XHW-A52A,16.0,1.56,코어 울트라5,내장그래픽,32,256,1818000,2025.01.,4.8,46,삼성전자,220.79999999999998,2025
266,LG전자 2023 울트라PC 15UD50R-GX56K WIN11,15.6,1.8,코어i5-13세대,기타,8,256,653800,2023.06.,4.5,12,LG전자,54.0,2023
267,LG전자 그램15 15Z90S-GP5UL,15.6,1.29,코어 울트라5,내장그래픽,16,512,1463470,2024.01.,4.5,2,LG전자,9.0,2024
268,LG전자 2025 그램 프로16 16ZD90TP-GX59K,16.0,1.199,코어 울트라5,내장그래픽,32,256,1837000,2025.01.,4.9,31,LG전자,151.9,2025
269,LG전자 2025 그램 프로16 16Z90TP-GA5YK,16.0,1.199,코어 울트라5,내장그래픽,16,256,1654000,2025.01.,5.0,46,LG전자,230.0,2025
270,LG전자 울트라PC 15UG50S-GA75KN 32GB램,15.6,1.77,코어 울트라7,기타,32,512,1548560,2025.02.,,,LG전자,,2025
271,삼성전자 갤럭시북5 프로 NT960XHA-KC51S,16.0,1.56,코어 울트라5,내장그래픽,16,512,1889000,2025.01.,4.8,6,삼성전자,28.799999999999997,2025
272,LG전자 2023 울트라PC 15UD50R-GX56K WIN11 32GB램,15.6,1.8,코어i5-13세대,기타,32,256,807460,2023.06.,4.8,5,LG전자,24.0,2023
273,LG전자 울트라PC 15U50T-GROWK 32GB램,15.6,1.7,코어i5-13세대,기타,32,256,791790,2024.11.,5.0,1,LG전자,5.0,2024
274,LG전자 그램 프로16 16Z90SP-GA5CK,16.0,1.199,코어 울트라5,내장그래픽,16,256,1441870,2024.01.,4.8,230,LG전자,1104.0,2024
275,LG전자 그램15 15Z95N i5 중고,15.6,1.12,코어i5-11세대,기타,8,256,496000,2022.03.,5.0,3,LG전자,15.0,2022
276,LG전자 그램17 17Z90S-GA5DK,17.0,1.35,코어 울트라5,내장그래픽,16,256,1468990,2025.03.,,,LG전자,,2025
277,LG전자 2023 울트라PC 15U50R-GP30ML 16GB램,15.6,1.8,코어i3-13세대,기타,16,256,728080,2024.07.,,,LG전자,,2024
278,삼성전자 갤럭시북4 NT750XGR-A58A WIN11,15.6,1.55,코어i5-13세대,기타,8,256,782000,2024.04.,,,삼성전자,,2024
279,삼성전자 갤럭시북4 NT750XGR-A38A,15.6,1.55,코어i3-13세대,기타,8,256,639990,2024.03.,4.9,"1,191",삼성전자,,2024
280,LG전자 2023 울트라PC 15U50R-GR56K 16GB램,15.6,1.8,코어i5-13세대,기타,16,256,683140,2023.06.,4.8,7,LG전자,33.6,2023
281,삼성전자 갤럭시북 프로 SE NT950XFT-A51A WIN11,15.6,1.11,코어i5-13세대,기타,16,256,1198990,2023.02.,5.0,9,삼성전자,45.0,2023
282,LG전자 2025 그램 프로16 16Z90TP-GA70K,16.0,1.199,코어 울트라7,내장그래픽,16,512,1928370,2025.01.,4.6,6,LG전자,27.599999999999998,2025
283,삼성전자 갤럭시북4 프로 NT960XGK-KC51S,16.0,1.56,코어 울트라5,내장그래픽,16,512,1673990,2024.01.,4.9,55,삼성전자,269.5,2024
284,LG전자 울트라PC 15U50T-GR3CK 16GB램,15.6,1.7,코어i3-13세대,기타,16,256,686280,2024.12.,,,LG전자,,2024
285,LG전자 2025 그램 프로16 16ZD90TP-GX5BK WIN11,16.0,1.199,코어 울트라5,내장그래픽,16,256,1547990,2025.01.,5.0,1,LG전자,5.0,2025
286,LG전자 2023 울트라PC 15UD40R-GX56K WIN11 16GB램,15.6,1.75,라이젠5,내장그래픽,16,256,668320,2023.03.,4.8,124,LG전자,595.1999999999999,2023
287,LG전자 2024 그램16 16Z90S-GALGL,16.0,1.199,코어 울트라5,내장그래픽,16,256,1408160,2025.02.,5.0,2,LG전자,10.0,2025
288,LG전자 2025 그램 프로16 16ZD90TS-GX56K,16.0,1.199,코어 울트라5,내장그래픽,16,256,1579770,2025.04.,5.0,37,LG전자,185.0,2025
289,삼성전자 갤럭시북4 NT750XGK-KC50G,15.6,1.55,코어5,기타,16,256,1299000,2024.08.,,,삼성전자,,2024
290,LG전자 2025 그램 프로16 16Z90TS-GS5HK,16.0,1.239,코어 울트라5,내장그래픽,16,512,1656730,2025.01.,4.9,113,LG전자,553.7,2025
291,LG전자 2024 그램16 16ZD90SU-GXF6K,16.0,1.12,코어 울트라5,내장그래픽,8,256,1265070,2025.02.,4.8,84,LG전자,403.2,2025
292,LG전자 2024 그램16 16ZD90SU-GXF6K WIN11,16.0,1.12,코어 울트라5,내장그래픽,8,256,1227900,2025.02.,,,LG전자,,2025
293,삼성전자 갤럭시북5 프로 NT960XHA-KC71G,16.0,1.56,코어 울트라7,내장그래픽,16,512,2068740,2025.01.,5.0,1,삼성전자,5.0,2025
294,LG전자 2025 그램 프로16 16ZD90TP-GX79K,16.0,1.199,코어 울트라7,내장그래픽,32,256,2099000,2025.01.,4.9,20,LG전자,98.0,2025
295,LG전자 2024 그램15 15Z90ST-GAOWK,15.6,,코어 울트라5,내장그래픽,16,512,1491000,2024.04.,4.8,156,LG전자,748.8,2024
296,LG전자 2025 그램 프로17 17Z90TP-GD7BK,17.0,1.369,코어 울트라7,내장그래픽,32,512,2202190,2025.02.,4.9,64,LG전자,313.6,2025
297,삼성전자 갤럭시북4 프로360 NT960QGK-K71AR,16.0,1.66,코어 울트라7,내장그래픽,32,1024,2309000,2024.01.,4.9,495,삼성전자,2425.5,2024
298,삼성전자 다나와인증 NT551XDA LT2507007555,15.3,1.75,코어i7-11세대,기타,8,240,395000,2025.10.,,,삼성전자,,2025
299,LG전자 그램 프로16 16Z90SP-KA5BK,16.0,1.199,코어 울트라5,내장그래픽,32,512,1798990,2024.04.,4.9,41,LG전자,200.9,2024
300,LG전자 그램 프로17 17Z90TR-EA5BK,17.0,1.48,코어 울트라5,RTX5050,32,512,2799000,2025.08.,4.9,24,LG전자,117.60000000000001,2025
301,LG전자 그램15 15ZD80T-GX76K,15.6,1.29,라이젠AI 7,내장그래픽,16,256,1398780,2025.04.,5.0,3,LG전자,15.0,2025
302,LG전자 2022 울트라PC 15U40Q-GR50K,15.6,1.75,라이젠5-4세대,내장그래픽,8,512,698870,2022.01.,,,LG전자,,2022
303,LG전자 2025 그램 프로16 16Z90TP-KA5BK,16.0,1.199,코어 울트라5,내장그래픽,16,512,1855940,2025.01.,4.9,200,LG전자,980.0000000000001,2025
304,LG전자 2024 그램16 16Z90SU-GR56K,16.0,1.12,코어 울트라5,기타,8,256,1289980,2024.03.,4.7,23,LG전자,108.10000000000001,2024
305,LG전자 2025 그램 프로17 17Z90TP-GA5YK,17.0,1.369,코어 울트라5,내장그래픽,16,256,1718870,2025.01.,4.8,26,LG전자,124.8,2025
306,LG전자 2025 그램 프로360 16T90TP-GA5HK,16.0,1.399,코어 울트라5,내장그래픽,16,512,1837000,2025.01.,4.9,104,LG전자,509.6,2025
307,삼성전자 갤럭시북 이온 NT931XCJ i5 중고,13.3,,코어i5-10세대,기타,8,256,370000,2019.01.,5.0,1,삼성전자,5.0,2019
308,LG전자 2025 그램 프로16 16Z90TS-GS5LK,16.0,1.199,코어 울트라5,내장그래픽,16,512,1678460,2025.03.,5.0,11,LG전자,55.0,2025
309,LG전자 2024 그램16 16Z90S-GA5NK,16.0,1.199,코어 울트라5,내장그래픽,16,256,1369000,2025.01.,4.8,20,LG전자,96.0,2025
310,삼성전자 갤럭시북3 NT750XFG-KF58G,15.6,1.57,코어i5-13세대,기타,8,256,778000,2024.08.,,,삼성전자,,2024
311,삼성전자 갤럭시북5 프로 NT940XHZ-A51A,14.0,1.23,코어 울트라5,내장그래픽,16,256,1768000,2025.11.,,,삼성전자,,2025
312,삼성전자 갤럭시북4 NT750XGR-A31A WIN11,15.6,1.55,코어i3-13세대,기타,16,256,715490,2024.04.,4.7,17,삼성전자,79.9,2024
313,LG전자 2025 그램 프로16 16Z90TP-GA5JK,16.0,1.199,코어 울트라5,내장그래픽,16,512,1702970,2025.01.,4.6,20,LG전자,92.0,2025
314,삼성전자 갤럭시북4 프로 NT940XGK-KC51S,14.0,1.23,코어 울트라5,내장그래픽,16,512,1443420,2024.01.,4.7,18,삼성전자,84.60000000000001,2024
315,LG전자 그램15 15ZD80T-GX76K WIN11,15.6,1.29,라이젠AI 7,내장그래픽,16,256,1414550,2025.04.,,,LG전자,,2025
316,삼성전자 갤럭시북3 고 5G NT345XPA-K14A,14.0,1.43,,기타,4,128,445000,2024.04.,4.8,301,삼성전자,1444.8,2024
317,LG전자 2025 그램14 14ZD90T-GX50K,14.0,1.12,코어 울트라5,내장그래픽,16,512,1348990,2025.01.,5.0,35,LG전자,175.0,2025
318,LG전자 2024 그램15 15Z90S-GA5PK,15.6,1.29,코어 울트라5,내장그래픽,16,256,1312600,2024.01.,4.9,192,LG전자,940.8000000000001,2024
319,LG전자 2023 울트라PC 15U40R-GRTWK 32GB램,15.6,1.75,라이젠3,내장그래픽,32,256,728990,2023.11.,,,LG전자,,2023
320,LG전자 그램 14ZB995 i5 중고,14.0,,코어i5-10세대,기타,8,256,468000,2020.01.,4.8,7,LG전자,33.6,2020
321,LG전자 2025 그램 프로17 17ZD90TR-SX79K WIN11,17.0,1.48,코어 울트라7,RTX4050,32,512,2508740,2025.02.,5.0,3,LG전자,15.0,2025
322,LG전자 그램 프로360 16TD90SP-KX76K,16.0,1.399,코어 울트라7,내장그래픽,16,256,1598990,2024.01.,4.9,81,LG전자,396.90000000000003,2024
323,LG전자 2025 그램 프로17 17ZD90TR-SX59K,17.0,1.48,코어 울트라5,RTX4050,32,512,2362160,2025.01.,4.9,25,LG전자,122.50000000000001,2025
324,LG전자 2025 그램14 14ZD90T-GX50K WIN11,14.0,1.12,코어 울트라5,내장그래픽,16,512,1298980,2025.01.,,,LG전자,,2025
325,삼성전자 갤럭시북4 NT750XGJ-KC51G,15.6,1.55,코어i5-13세대,기타,16,256,866810,2024.08.,,,삼성전자,,2024
326,삼성전자 갤럭시북4 NT750XGJ-KC31G,15.6,1.55,코어i3-13세대,기타,16,256,774110,2024.08.,,,삼성전자,,2024
327,LG전자 2023 그램15 15ZD90RU-GX56K,15.6,1.14,코어i5-13세대,기타,16,256,1129860,2023.04.,4.9,811,LG전자,3973.9,2023
328,삼성전자 갤럭시북3 프로360 NT960QFG-K71AR,16.0,1.66,코어i7-13세대,기타,32,1024,1898990,2023.02.,4.9,343,삼성전자,1680.7,2023
329,삼성전자 NT551XDA i7 MX450 중고,15.6,1.81,코어i7-11세대,기타,8,256,420000,2021.01.,4.5,2,삼성전자,9.0,2021
330,삼성전자 갤럭시북4 NT750XGJ-KG58G,15.6,1.55,코어i5-13세대,기타,8,512,910620,2024.08.,,,삼성전자,,2024
331,LG전자 2022 울트라PC 15U40Q-GRTWK 32GB램,15.6,1.75,라이젠3-4세대,내장그래픽,32,256,850690,2023.10.,,,LG전자,,2023
332,삼성전자 갤럭시북2 NT550XED-K24A,15.6,1.8,,기타,4,128,798000,2023.10.,4.8,373,삼성전자,1790.3999999999999,2023
333,삼성전자 갤럭시북4 NT750XGJ-KP51G,15.6,1.55,코어i5-13세대,기타,16,256,899000,2024.08.,,,삼성전자,,2024
334,LG전자 2025 그램15 15Z90T-GA5YK,15.6,1.29,코어 울트라5,내장그래픽,16,256,1395970,2025.01.,4.9,42,LG전자,205.8,2025
335,LG전자 2025 그램 프로17 17ZD90TR-SX7BK,17.0,1.48,코어 울트라7,RTX4050,32,512,2526270,2025.01.,4.8,51,LG전자,244.79999999999998,2025
336,LG전자 그램 15ZB95N i5 중고,15.6,1.12,코어i5-11세대,기타,8,256,510000,2022.04.,2.3,3,LG전자,6.8999999999999995,2022
337,LG전자 그램 프로360 16TD90SP-KX56K,16.0,1.399,코어 울트라5,내장그래픽,16,256,1579050,2024.01.,4.9,166,LG전자,813.4000000000001,2024
338,LG전자 2023 울트라PC 15UD50R-GX56K 16GB램,15.6,1.8,코어i5-13세대,기타,16,256,627940,2023.06.,4.8,8,LG전자,38.4,2023
339,LG전자 다나와인증 15Z95P LT2505006204,15.3,1.12,코어i7-11세대,기타,16,240,790000,2025.10.,,,LG전자,,2025
340,LG전자 그램16 16Z90TL-H.AUB9U1 병행수입,16.0,1.239,코어 울트라9,내장그래픽,32,1024,2599000,2025.11.,,,LG전자,,2025
341,LG전자 그램16 16ZD90TL-GX56K,16.0,1.24,코어 울트라5,내장그래픽,16,256,1547250,2025.08.,,,LG전자,,2025
342,LG전자 2025 그램15 15ZD90T-GX76K WIN11,15.6,1.29,코어 울트라7,내장그래픽,16,256,1601300,2025.01.,,,LG전자,,2025
343,삼성전자 갤럭시북4 엣지 NT750XQA-K02A,15.6,1.5,,기타,16,512,1090000,2024.10.,4.7,27,삼성전자,126.9,2024
344,삼성전자 갤럭시북5 NT750XHW-A71A,15.6,1.55,코어 울트라7,기타,16,256,1448000,2025.12.,,,삼성전자,,2025
345,삼성전자 갤럭시북4 프로 NT960XGK-KC71G,16.0,1.56,코어 울트라7,내장그래픽,16,512,1766990,2024.01.,4.6,11,삼성전자,50.599999999999994,2024
346,LG전자 2023 그램15 15ZD90RU-GX56K WIN11,15.6,1.14,코어i5-13세대,기타,16,256,1140530,2023.05.,4.8,20,LG전자,96.0,2023
347,삼성전자 갤럭시북4 엣지 NT960XMA-K01A,16.0,1.55,,기타,16,512,1398120,2024.06.,4.9,86,삼성전자,421.40000000000003,2024
348,삼성전자 갤럭시북4 프로 NT960XGQ-A51A,16.0,1.56,코어 울트라5,내장그래픽,16,256,1549580,2024.01.,4.9,"4,088",삼성전자,,2024
349,LG전자 2025 그램 프로16 16ZD90TR-SXFWK WIN11,16.0,1.36,코어 울트라5,RTX4050,32,512,2268430,2025.08.,,,LG전자,,2025
350,LG전자 2025 그램 프로360 16TD90TP-GX56K WIN11,16.0,1.399,코어 울트라5,내장그래픽,16,256,1735520,2025.01.,,,LG전자,,2025
351,LG전자 2025 그램 프로16 16Z90TR-SAFWK,16.0,1.36,코어 울트라5,RTX4050,32,512,2416790,2025.08.,5.0,9,LG전자,45.0,2025
352,삼성전자 갤럭시북5 프로H NT965XHW-A52A WIN11,16.0,1.56,코어 울트라5,내장그래픽,32,256,1914940,2025.02.,5.0,5,삼성전자,25.0,2025
353,LG전자 그램 프로16 16Z90SP-GA7CK,16.0,1.199,코어 울트라7,내장그래픽,16,256,1538000,2024.01.,4.8,24,LG전자,115.19999999999999,2024
354,LG전자 2025 그램 프로17 17ZD90TP-GX5BK,17.0,1.369,코어 울트라5,내장그래픽,16,256,1675550,2025.01.,4.5,9,LG전자,40.5,2025
355,LG전자 2025 그램14 14Z90T-GA5YK,14.0,1.12,코어 울트라5,내장그래픽,16,256,1341070,2025.01.,4.8,24,LG전자,115.19999999999999,2025
356,LG전자 2025 그램15 15ZD90T-GX76K,15.6,1.29,코어 울트라7,내장그래픽,16,256,1560410,2025.01.,5.0,5,LG전자,25.0,2025
357,LG전자 2025 그램 프로17 17Z90TP-GA50K,17.0,1.369,코어 울트라5,내장그래픽,16,256,1576000,2025.01.,4.8,8,LG전자,38.4,2025
358,LG전자 2024 그램16 16ZD90SU-GX56K,16.0,1.12,코어 울트라5,기타,8,256,1288000,2024.03.,4.8,200,LG전자,960.0,2024
359,LG전자 그램 프로16 16Z90SP-GA5BK,16.0,1.199,코어 울트라5,내장그래픽,16,512,1498270,2024.04.,4.8,68,LG전자,326.4,2024
360,LG전자 그램 프로16 16Z90SP-ED7HK,16.0,1.279,코어 울트라7,RTX3050,32,512,2302990,2024.01.,4.9,114,LG전자,558.6,2024
361,LG전자 울트라PC 15U590 i5 MX 중고,15.6,1.85,코어i5-8세대,기타,8,256,359000,2019.03.,4.0,1,LG전자,4.0,2019
362,"APPLE 맥북프로14 M3 8코어 CPU, 10코어 GPU 그레이",14.2,1.55,M3,기타,8,512,1519900,2023.11.,5.0,74,APPLE,370.0,2023
363,LG전자 2023 울트라PC 15UD40R-GX56K,15.6,1.75,라이젠5,내장그래픽,8,256,614990,2023.01.,4.7,121,LG전자,568.7,2023
364,"APPLE 맥북에어13 M2 8코어 CPU, 10코어 GPU 그레이",13.6,1.24,M2,기타,8,512,970000,2022.06.,4.6,21,APPLE,96.6,2022
365,LG전자 그램17 17Z90N i5 중고,17.0,1.35,코어i5-10세대,기타,16,256,1650000,2019.12.,,,LG전자,,2019
366,LG전자 2025 그램 프로16 16Z90TP-GA5MK,16.0,1.199,코어 울트라5,내장그래픽,16,256,1598720,2025.01.,,,LG전자,,2025
367,LG전자 그램 프로16 16Z90SP-KAOWK,16.0,1.199,코어 울트라5,내장그래픽,16,512,1649000,2024.01.,4.9,"1,976",LG전자,,2024
368,LG전자 그램 프로16 16Z90SP-KDOVK,16.0,1.199,코어 울트라7,내장그래픽,32,1024,2098990,2024.01.,4.9,331,LG전자,1621.9,2024
369,"APPLE 맥북프로14 M3 8코어 CPU, 10코어 GPU 실버",14.2,1.55,M3,기타,8,512,1749980,2023.11.,5.0,42,APPLE,210.0,2023
370,LG전자 2025 그램 프로16 16ZD90TP-GX5BK,16.0,1.199,코어 울트라5,내장그래픽,16,256,1593760,2025.01.,5.0,16,LG전자,80.0,2025
371,삼성전자 갤럭시북 프로 SE NT950XGQ-A51A,15.6,1.13,코어 울트라5,내장그래픽,16,512,1368250,2024.04.,4.9,58,삼성전자,284.20000000000005,2024
372,삼성전자 갤럭시북 프로 NT931XDB i5 중고,13.3,,코어i5-11세대,기타,8,256,428000,2021.05.,4.6,10,삼성전자,46.0,2021
373,LG전자 그램 프로16 16ZD90SP-GX56K,16.0,1.199,코어 울트라5,내장그래픽,16,256,1418990,2024.01.,4.8,647,LG전자,3105.6,2024
374,삼성전자 오디세이 NT850XBC-X719A,15.6,2.39,코어i7-9세대,RTX2060,16,256,2794490,2019.07.,4.8,291,삼성전자,1396.8,2019
375,LG전자 그램 프로360 16T90SP-KA5BK,16.0,1.399,코어 울트라5,내장그래픽,16,512,1632970,2024.03.,4.8,200,LG전자,960.0,2024
376,LG전자 2024 그램15 15Z90ST-GA5EK,15.6,,코어 울트라5,내장그래픽,16,512,1490000,2024.04.,,,LG전자,,2024
377,삼성전자 갤럭시북5 프로360 NT960QHA-KD72S,16.0,1.69,코어 울트라7,내장그래픽,32,1024,3131250,2024.11.,5.0,1,삼성전자,5.0,2024
378,LG전자 15N365 i5 중고,15.6,2.1,코어i5-6세대,기타,8,128,199000,2017.07.,4.0,4,LG전자,16.0,2017
379,LG전자 그램15 15Z80T-GS50K,15.6,1.29,라이젠AI 5,내장그래픽,16,256,1226830,2025.04.,,,LG전자,,2025
380,LG전자 2023 그램16 16Z90R-GA5VK,16.0,1.199,코어i5-13세대,기타,16,256,1370000,2024.04.,4.9,45,LG전자,220.50000000000003,2024
381,LG전자 그램 프로17 17Z90SP-GA5CK,17.0,1.299,코어 울트라5,내장그래픽,16,256,1498430,2024.01.,4.9,62,LG전자,303.8,2024
382,LG전자 울트라PC 엣지 14U70Q R3 중고,14.0,1.29,라이젠3-4세대,내장그래픽,8,256,499000,2022.08.,,,LG전자,,2022
383,LG전자 2025 그램 프로17 17ZD90TR-SX5BK,17.0,1.48,코어 울트라5,RTX4050,32,512,2378800,2025.01.,5.0,5,LG전자,25.0,2025
384,삼성전자 갤럭시북2 NT550XEZ-A58A,15.6,1.8,코어i5-12세대,기타,8,256,769000,2022.06.,4.8,"5,873",삼성전자,,2022
385,삼성전자 갤럭시북3 프로360 NT960QFG-KC71G,16.0,1.66,코어i7-13세대,기타,16,512,1598990,2023.02.,4.7,21,삼성전자,98.7,2023
386,삼성전자 갤럭시북4 엣지 NT960XMB-KA01B,16.0,1.55,,기타,16,1024,1533670,2024.06.,4.9,64,삼성전자,313.6,2024
387,LG전자 2024 그램17 17ZD90SU-GX56K 16GB램,17.0,1.39,코어 울트라5,기타,16,256,1373940,2024.03.,5.0,1,LG전자,5.0,2024
388,LG전자 그램 프로17 17Z90SP-GA70K,17.0,1.299,코어 울트라7,내장그래픽,16,512,1929970,2024.01.,4.9,22,LG전자,107.80000000000001,2024
389,LG전자 2025 그램 프로16 16ZD90TR-SX59K WIN11,16.0,1.36,코어 울트라5,RTX4050,32,512,2289820,2025.02.,,,LG전자,,2025
390,LG전자 2023 그램17 17Z90R-GA5VK,17.0,1.35,코어i5-13세대,기타,16,256,1328960,2024.05.,4.7,21,LG전자,98.7,2024
391,LG전자 2024 그램14 14Z90S-GA56K,14.0,1.12,코어 울트라5,내장그래픽,16,512,1288490,2024.01.,4.9,205,LG전자,1004.5000000000001,2024
392,LG전자 15U590 i5 중고,15.6,1.75,코어i5-8세대,기타,8,256,327580,2019.03.,5.0,7,LG전자,35.0,2019
393,LG전자 그램 프로17 17ZD90SP-GX56K WIN11,17.0,1.299,코어 울트라5,내장그래픽,16,256,1566020,2024.03.,5.0,2,LG전자,10.0,2024
394,삼성전자 NT551XDA i7 32GB램 중고,15.6,1.81,코어i7-11세대,기타,32,256,2294790,2021.01.,,,삼성전자,,2021
